relative_path,file_name,file_extension,size_bytes,sha256
README_PROTOTYPE.md,README_PROTOTYPE.md,.md,1905,c1994f707be354e8a1d1ee04e6986358939fc3d79cdf376f7ea38dcc319df896
access_policies.csv,access_policies.csv,.csv,1380,16e0a17463d37e8ab9fbcdcae78febf6f152b4ecf35a353b34bd49bc1050130f
build_summary.json,build_summary.json,.json,549,a4e3b6cb132295c19eafa84dc94327aa3389fd015005b21cbd70cce7a8c8f51d
candidate_claim_evidence.csv,candidate_claim_evidence.csv,.csv,24654,8885016a4b2847e6b2150bfa37076736941e4a77723acf8c49ddb6b1ba000f35
candidate_claims.csv,candidate_claims.csv,.csv,166444,7e9cb3df8cb9c9de429cf7caee5907be24017635227b77f3059d2d1b2001b1c6
candidate_claims_ranked.csv,candidate_claims_ranked.csv,.csv,166444,20bbbc4e455d1f000a5a08c47d48bfa09b1ab9874feeb54a01315ea896976f5c
candidate_sme_review_queue.csv,candidate_sme_review_queue.csv,.csv,29706,e46933ba8bfd14fe958f7e205eed8e5bac59986e46c4a3f5d314784773e11790
claim_evidence.csv,claim_evidence.csv,.csv,452,1965e150156173b28f504fb25929bb0332b60e19464f5aa621b5b7e5c618ec6d
claims.csv,claims.csv,.csv,2051,bfeaf26b5a9cda58ca8a4f526e2eeeb34f28479a5e882d5045f5c8e0321f5941
context_graph_edges.csv,context_graph_edges.csv,.csv,1302,0ea5ce4da850169b54f49c8c253e3e7ce16b989f54fe335d80a6ccd79f946692
context_graph_nodes.csv,context_graph_nodes.csv,.csv,1321,15f85a976e56f982aee2f1912ab1f4d6695c73d1398019402ba498dba158aab0
data_access_policies.csv,data_access_policies.csv,.csv,1380,16e0a17463d37e8ab9fbcdcae78febf6f152b4ecf35a353b34bd49bc1050130f
data_inventory.csv,data_inventory.csv,.csv,1039,59f3790f2d9cb42c770f241af92ae3ed2562bbf0d27366733a6e76151403e3ab
department_roles.csv,department_roles.csv,.csv,492,42501e41f4e3b3f08dfab61403be3155c1327b2b840011a30852fe1aa868f532
document_chunks.csv,document_chunks.csv,.csv,250857,a63c7d4a8c7fd5dd4a4b77857fa0bee544fe9f23d7efbf78ec2d48d751b9ab90
document_retrieval_index.joblib,document_retrieval_index.joblib,.joblib,6043832,0ea4a8b8cd16286f7f270d172f6a6a2a419df4143632fe75a2327ded32b1f825
entities.csv,entities.csv,.csv,95,4048ef3427071ba37e10c3f0dce19d3814ecb57b86c06b1b73bf41f54d7d91e0
entity_aliases.csv,entity_aliases.csv,.csv,101,141d04765f62de98a708eb092289540d8a7ce7c1df96ef586fdfc0c7ffe0f2a9
entity_identifiers.csv,entity_identifiers.csv,.csv,523,a4936b021988b8e7d8b59359ecc8802ceb9e6c2af6aaa165530da74e1d62bb12
evidence_sources.csv,evidence_sources.csv,.csv,854,b6c224abd7404e37915b9e0125ff04e61efa8ace954ca1000128444845d95841
governance_test_results.csv,governance_test_results.csv,.csv,2206,b1c1c7099e5a4e773bc9ed451feb98b686209373d8814f17fc6052b9857f07ac
governed_retrieval_test_results.csv,governed_retrieval_test_results.csv,.csv,860,a8506ebb3e1134dd548d8a84271810febc5c65c51622f9dec6ec3d9cfbeb0802
ingested_document_registry.csv,ingested_document_registry.csv,.csv,947,f21cad3d1d08d52a48919cc066e2da8a455485784ac7863ab5925feaa35226f8
life_sciences_context.db,life_sciences_context.db,.db,860160,d2bb0b5cb218a55910b7f236fa546f7ad2afb88d2320bcc443208b80b5b576bd
life_sciences_context_graph.graphml,life_sciences_context_graph.graphml,.graphml,6190,cb70a57291e267541b9565bcb424480213968baeaca67e4e69aa5350d47264d0
life_sciences_context_graph.png,life_sciences_context_graph.png,.png,350643,3787afc9c5db47052b4145b343d5e00e30caa633df68ea43f23337ef113468c0
master_drug_zanubrutinib.csv,master_drug_zanubrutinib.csv,.csv,498,ae23269009624ae2a7452a8bb6c67a08671e5d3275c6eb606fb59de3a1be1e20
mlr_decisions.csv,mlr_decisions.csv,.csv,134,f7a488c008414dda3549f2b1d1ec29858fd7ba3c0fe687d6d1258535aaaf8e25
mlr_review_queue.csv,mlr_review_queue.csv,.csv,1178,ce3dd8f77801dd690ef51198cbd558bc717ba9d4ba812ae5a964befcda96f4c8
orchestration_test_results.csv,orchestration_test_results.csv,.csv,994,d460c4963730399b89f2675cee78d4a61a84d3da151d5f064b1f50c015043c13
purpose_access_policies.csv,purpose_access_policies.csv,.csv,1380,16e0a17463d37e8ab9fbcdcae78febf6f152b4ecf35a353b34bd49bc1050130f
query_audit_log.csv,query_audit_log.csv,.csv,3737,e8b80d04c2d5e4ad1b1017f62dfcd1ea6bffa87bf3ce983e7532d215c95f89ce
retrieval_test_results.csv,retrieval_test_results.csv,.csv,455,61ef8205480a3bfa72eb77615eef8bd668505c35cd8ecdeb6e372de25e63eb41
sme_corrections.csv,sme_corrections.csv,.csv,125,2670dc0d92130360236f4672fab5ed7dbd4f30522b1d21c50c48e2118640d275
sme_review_decisions.csv,sme_review_decisions.csv,.csv,138,2476b9215f1cf30f3e6202859bfbce54ff5a1a0ac507b4e6cd49bd523b23bb18
sme_validated_claims.csv,sme_validated_claims.csv,.csv,143,a2a379454e900c75d6a96c2e9c15bf473272127a4c2d64445b45d023be2c6d83
source_documents/20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,20260913_3e08fe23-d70e-424c-bc51-1222e320f902 (1).pdf,.pdf,651769,500282557b420fba1382f061ba0c617092e7002facf3fa40e1a9a33b57a6454e
source_documents/jco-41-1035 (2).pdf,jco-41-1035 (2).pdf,.pdf,540583,9fc50e060862df2819aaf39fc4cd6b1f4895b29ee3640d4bab8807d5a3c24671
source_documents/s00277-024-05823-8 (1).pdf,s00277-024-05823-8 (1).pdf,.pdf,1423051,be10b007ac0f462e95c04ed4ee51528abe10c165a2b41a440cfa6e52a07a21c6
source_registry.csv,source_registry.csv,.csv,854,b6c224abd7404e37915b9e0125ff04e61efa8ace954ca1000128444845d95841
